,date,first_by_perf,last_by_perf,sum_by_perf
0,1993-06-01,59.7,0.422,1122.845
1,1993-11-01,124.0,0.472,1466.21
2,1994-06-01,143.4,0.822,2233.8819999999996
3,1994-11-01,170.0,1.114,2622.3379999999997
4,1995-06-01,170.0,1.955,3927.029
5,1995-11-01,170.0,2.489,4784.547
6,1996-06-01,220.4,3.306,5894.544
7,1996-11-01,368.2,4.62,7981.229
8,1997-06-01,1068.0,7.67,12844.358
9,1997-11-01,1338.0,9.513,16898.131
10,1998-06-01,1338.0,13.39,22625.134000000002
11,1998-11-01,1338.0,17.12,29367.613999999998
12,1999-06-01,2121.0,24.7,39062.579
13,1999-11-01,2379.0,33.09,50938.556000000004
14,2000-06-01,2379.0,43.82,64230.106
15,2000-11-01,4938.0,55.3,88080.876
16,2001-06-01,7226.0,67.78,108275.86600000001
17,2001-11-01,7226.0,94.3,134977.506
18,2002-06-01,35860.0,134.3,222245.166
19,2002-11-01,35860.0,195.8,292713.56
20,2003-06-01,35860.0,245.1,373063.56
21,2003-11-01,35860.0,402.5,529241.568
22,2004-06-01,35860.0,624.258,814895.674
23,2004-11-01,70720.0,850.6,1129663.8159999999
24,2005-06-01,136800.0,1166.0,1686932.52
25,2005-11-01,280600.0,1645.7,2304687.73
26,2006-06-01,280600.0,2026.0,2790054.02
27,2006-11-01,280600.0,2736.9,3527458.3500000006
28,2007-06-01,280600.0,4005.0,4946586.05
29,2007-11-01,478200.0,5929.6,6966169.82
30,2008-06-01,1026000.0,8996.78,11700016.97
31,2008-11-01,1105000.0,12593.5,16927325.8
32,2009-06-01,1105000.0,17088.8,22607996.299999997
33,2009-11-01,1759000.0,20051.0,27977501.799999997
34,2010-06-01,1759000.0,24670.0,32434683.700000003
35,2010-11-01,2566000.0,31112.2,43673092.5
36,2011-06-01,8162000.0,40217.0,59133738.3
37,2011-11-01,10510000.0,50941.4,74069633.9
38,2012-06-01,16324751.0,60824.4,123417786.29999998
39,2012-11-01,17590000.0,76411.0,162139386.70000002
40,2013-06-01,33862700.0,96619.0,223635857.2
41,2013-11-01,33862700.0,117831.3,250080467.2
42,2014-06-01,33862700.0,134248.9,274100486.09999996
43,2014-11-01,33862700.0,153381.0,308850512.2
44,2015-06-01,33862700.0,164790.7,362652490.20000005
45,2015-11-01,33862700.0,206304.0,417807043.6
46,2016-06-01,93014593.9,286100.0,567353038.8
47,2016-11-01,93014593.9,349333.0,672112377.4999999
48,2017-06-01,93014593.9,430459.0,748371887.8
49,2017-11-01,93014593.9,548672.0,845120504.8
50,2018-06-01,122300000.0,715551.0,1210914864.1
51,2018-11-01,143500000.0,874800.0,1414955581.8000002
52,2019-06-01,148600000.0,1021000.0,1559575379.8
53,2019-11-01,148600000.0,1142000.0,1646887142.8
54,2020-06-01,415530000.0,1228000.0,2206134393.8
55,2020-11-01,442010000.0,1316840.0,2428761851.8
56,2021-06-01,442010000.0,1511000.0,2786058799.8
57,2021-11-01,442010000.0,1649110.0,3036861783.8
58,2022-06-01,1102000000.0,1649110.0,4403083213.8
